"Bgn app",3.11
"AppManager: Entered main function: ",6.10
"AppManager: Bgn Init Logging: ",6.61
"AppManager: Bgn Get Splash Json: ",6.63
"AppManager: Start splash video: ",7.63
"AppManager: Bgn InitMutex: ",7.64
"AppManager: End SetupSystem: ",7.65
"AppManager: End Init CLogFile: ",7.69
"AppManager: End Load DidjPatches: ",7.69
"AppManager: get temp restart player: ",7.70
"AppManager: End Set Profile Logging: ",8.02
"AppManager: End Set Power & USB: ",8.03
"AppManager: Bgn Load main.swf: ",8.03
"AppManager: End Load main.swf: ",8.95
"AppManager: UI loaded: ",8.95
"AppManager: Flash Player: Begin Constructing DidjPlayer: ",8.95
"AppManager: FlashPlayer: Begin Create SI Library: ",8.96
"AppManager: FlashPlayer: End Create SI Library: ",8.96
"AppManager: Flash Player: End Constructing DidjPlayer: ",8.97
"AppManager: FlashPlayer: Begin Load Movie: ",9.03
"AppManager: FlashPlayer: Begin Create Player: ",9.04
"AppManager: FlashPlayer: End Create Player: ",9.37
"AppManager: FlashPlayer: Begin Set MIME Types: ",9.38
"AppManager: FlashPlayer: End Set MIME Types: ",9.38
"AppManager: FlashPlayer: Begin Set SWF Data Buffer: ",9.39
"AppManager: FlashPlayer: End Set SWF Data Buffer: ",9.40
"AppManager: FlashPlayer: End Load Movie: ",9.40
"AppManager: UI entered: ",9.40
"AppManager: UI updated: ",11.37
"AppManager: End splash video: ",12.73
"Bgn CartManager",13.54
"AppManager: Start shutdown video: ",34.77
"AppManager: End shutdown video: ",37.00
"End AppManager exit(0)",37.84
