"Bgn app",2.33
"AppManager: Entered main function: ",5.07
"AppManager: Bgn Init Logging: ",5.42
"AppManager: Bgn Get Splash Json: ",5.46
"AppManager: Start splash video: ",6.45
"AppManager: Bgn InitMutex: ",6.47
"AppManager: End SetupSystem: ",6.47
"AppManager: End Init CLogFile: ",6.50
"AppManager: End Load DidjPatches: ",6.53
"AppManager: Bgn Set Profile Logging: ",6.53
"AppManager: End Set Profile Logging: ",6.83
"AppManager: End Set Power & USB: ",6.85
"AppManager: Bgn Load main.swf: ",6.85
"AppManager: End Load main.swf: ",7.85
"AppManager: UI loaded: ",7.85
"AppManager: Flash: End Construct DidjPlayer: ",7.88
"AppManager: Flash: Bgn LoadMovie: ",7.92
"AppManager: Flash: Bgn CreatePlayer: ",7.94
"AppManager: Flash: End CreatePlayer: ",8.27
"AppManager: Flash: End SetFrameBuffer: ",8.30
"AppManager: Flash: End LoadMovie: ",8.30
"AppManager: UI entered: ",8.30
"AppManager: Flash: Plugin TouchScreen: ",8.99
"AppManager: Flash: Plugin AppMan: ",9.12
"AppManager: Flash: Plugin System: ",9.20
"AppManager: Flash: Plugin PlayerProfiles: ",9.26
"AppManager: Flash: Plugin FR: ",9.31
"AppManager: Flash: Plugin Logging: ",9.45
"AppManager: Flash: Plugin FileSystem: ",9.51
"AppManager: Flash: Plugin Cart: ",9.57
"AppManager: Flash: Plugin Accel: ",9.65
"AppManager: Flash: Plugin MDL: ",9.71
"AppManager: Flash: Plugin CYO: ",9.76
"AppManager: Flash: Plugin Milestones: ",9.82
"AppManager: Flash: Plugin Consumable: ",9.87
"AppManager: Flash: Plugin Meta: ",9.93
"AppManager: Flash: Plugin JSON: ",10.02
"AppManager: Flash: Plugin Microphone: ",10.09
"AppManager: Flash: Plugin Power: ",10.15
"AppManager: UI updated: ",10.28
"AppManager: End splash video: ",11.85
"AppManager: Start shutdown video: ",33.71
"AppManager: End shutdown video: ",35.92
"End AppManager exit(0)",36.71
"Bgn CartManager",12.51
