"End mount -a",1.680000
"End mdev",2.600000
"End display legal",4.410000
"Bgn sounds/startup.wav",4.540000
"End usbether",5.300000
"End touchscreen",5.640000
"Bgn mounts at 2s",5.630000
"End mounts",6.480000
"End setcal",6.570000
"End sounds/startup.wav",7.060000
"Bgn Rest of networking at 10s",13.630000
"End dbus-1",14.430000
"End networking",15.150000
"End avahi-daemon",15.630000
"End vbus start",15.720000
"End Rest of networking",15.780000
"Bgn Version Logging at 15s",18.650000
"End Version Logging",19.709999
"Bgn power-button",34.220001
"Bgn Shutting down system",39.520000
"End dbus-1 stop",39.610001
"End vsftpd stop",39.669998
"End telnetd stop",39.750000
"End vbus stop",39.830002
"End networking stop",39.919998
"End usbether stop",40.369999
"Bgn killall mainapp",40.439999
"End killall mainapp",40.529999
"Bgn umount -a",40.790001
